Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days,Day_Category
42012,GPD-MMC EMU,GUMMIDIPUNDI,MOOR MARKET,Wednesday,Weekday
42013,MMC-GPD EMU,MOOR MARKET,GUMMIDIPUNDI,Thursday,Weekday
42014,GPD-MMC EMU,GUMMIDIPUNDI,MOOR MARKET,Saturday,Weekend
42015,MMC-GPD EMU,MOOR MARKET,GUMMIDIPUNDI,Friday,Weekday
42016,GPD-MMC EMU,GUMMIDIPUNDI,MOOR MARKET,Sunday,Weekend
42017,MMC-GPD EMU,MOOR MARKET,GUMMIDIPUNDI,Friday,Weekday
42018,GPD-MMC EMU,GUMMIDIPUNDI,MOOR MARKET,Friday,Weekday
42019,MMC-GPD EMU,MOOR MARKET,GUMMIDIPUNDI,Wednesday,Weekday
42020,GPD-MMC EMU,GUMMIDIPUNDI,MOOR MARKET,Saturday,Weekend
42021,MMC-GPD EMU,MOOR MARKET,GUMMIDIPUNDI,Thursday,Weekday
42022,GPD-MMC EMU,GUMMIDIPUNDI,MOOR MARKET,Tuesday,Weekday
42023,MMC-GPD EMU,MOOR MARKET,GUMMIDIPUNDI,Tuesday,Weekday
42024,GPD-MMC EMU,GUMMIDIPUNDI,MOOR MARKET,Wednesday,Weekday
42025,MMC-GPD EMU,MOOR MARKET,GUMMIDIPUNDI,Wednesday,Weekday
42026,GPD-MMC EMU,GUMMIDIPUNDI,MOOR MARKET,Wednesday,Weekday
42027,MMC-GPD EMU,MOOR MARKET,GUMMIDIPUNDI,Thursday,Weekday
42028,GPD-MMC EMU,GUMMIDIPUNDI,MOOR MARKET,Saturday,Weekend
42029,MMC-GPD EMU,MOOR MARKET,GUMMIDIPUNDI,Wednesday,Weekday
42030,GPD-MMC EMU,GUMMIDIPUNDI,MOOR MARKET,Monday,Weekday
42031,MMC-GPD EMU,MOOR MARKET,GUMMIDIPUNDI,Monday,Weekday
42032,GPD-MMC EMU,GUMMIDIPUNDI,MOOR MARKET,Monday,Weekday
42033,MMC-GPD EMU,MOOR MARKET,GUMMIDIPUNDI,Tuesday,Weekday
42034,GPD-MMC EMU,GUMMIDIPUNDI,MOOR MARKET,Tuesday,Weekday
42035,MMC-GPD EMU,MOOR MARKET,GUMMIDIPUNDI,Sunday,Weekend
42036,GPD-MMC EMU,GUMMIDIPUNDI,MOOR MARKET,Thursday,Weekday
42037,MMC-GPD EMU,MOOR MARKET,GUMMIDIPUNDI,Saturday,Weekend
42038,GPD-MMC EMU,GUMMIDIPUNDI,MOOR MARKET,Monday,Weekday
42039,MMC-GPD EMU,MOOR MARKET,GUMMIDIPUNDI,Saturday,Weekend
42040,GPD-MMC EMU,GUMMIDIPUNDI,MOOR MARKET,Wednesday,Weekday
42041,MMC-GPD EMU,MOOR MARKET,GUMMIDIPUNDI,Tuesday,Weekday
42042,GPD-MMC EMU,GUMMIDIPUNDI,MOOR MARKET,Thursday,Weekday
42043,MMC-GPD EMU,MOOR MARKET,GUMMIDIPUNDI,Thursday,Weekday
42044,GPD-MMC EMU,GUMMIDIPUNDI,MOOR MARKET,Thursday,Weekday
42045,MMC-GPD EMU,MOOR MARKET,GUMMIDIPUNDI,Friday,Weekday
42046,GPD-MMC EMU,GUMMIDIPUNDI,MOOR MARKET,Thursday,Weekday
42301,MMC-PON EMU,MOOR MARKET,PONNERI,Wednesday,Weekday
42302,PON-MMC EMU,PONNERI,MOOR MARKET,Monday,Weekday
42401,MMC-SPE EMU,MOOR MARKET,SULLURUPETTA,Tuesday,Weekday
42402,SPE-MMC EMU,SULLURUPETTA,MOOR MARKET,Thursday,Weekday
42403,MMC-SPE EMU,MOOR MARKET,SULLURUPETTA,Saturday,Weekend
42404,SPE-MMC EMU,SULLURUPETTA,MOOR MARKET,Friday,Weekday
42406,SPE-MMC EMU,SULLURUPETTA,MOOR MARKET,Wednesday,Weekday
42407,MMC-SPE EMU,MOOR MARKET,SULLURUPETTA,Sunday,Weekend
42408,SPE-MMC EMU,SULLURUPETTA,MOOR MARKET,Monday,Weekday
42409,MMC-SPE EMU,MOOR MARKET,SULLURUPETTA,Wednesday,Weekday
42411,MMC-SPE EMU,MOOR MARKET,SULLURUPETTA,Wednesday,Weekday
42412,SPE-MMC EMU,SULLURUPETTA,MOOR MARKET,Monday,Weekday
42413,MMC-SPE EMU,MOOR MARKET,SULLURUPETTA,Friday,Weekday
42414,SPE-MMC EMU,SULLURUPETTA,MOOR MARKET,Thursday,Weekday
42416,SPE-MMC EMU,SULLURUPETTA,MOOR MARKET,Wednesday,Weekday
42417,MMC-SPE EMU,MOOR MARKET,SULLURUPETTA,Wednesday,Weekday
42419,MMC-SPE EMU,MOOR MARKET,SULLURUPETTA,Sunday,Weekend
42420,SPE-MMC EMU,SULLURUPETTA,MOOR MARKET,Monday,Weekday
42421,MMC-SPE EMU,MOOR MARKET,SULLURUPETTA,Wednesday,Weekday
42422,SPE-MMC EMU,SULLURUPETTA,MOOR MARKET,Friday,Weekday
42423,MMC-SPE EMU,MOOR MARKET,SULLURUPETTA,Monday,Weekday
42451,GPD-SPE EMU,GUMMIDIPUNDI,SULLURUPETTA,Tuesday,Weekday
