Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days
98705,AD5,CST-MUMBAI,RAVLI JN,Tuesday
98707,AD7,CST-MUMBAI,RAVLI JN,Saturday
98709,AD9,CST-MUMBAI,RAVLI JN,Friday
98711,AD11,CST-MUMBAI,RAVLI JN,Thursday
98713,AD13,CST-MUMBAI,RAVLI JN,Friday
98715,AD 15,CST-MUMBAI,RAVLI JN,Thursday
98717,AD 17,CST-MUMBAI,RAVLI JN,Thursday
98719,AD 19,CST-MUMBAI,RAVLI JN,Saturday
98721,AD21,CST-MUMBAI,RAVLI JN,Monday
98723,AD23,CST-MUMBAI,RAVLI JN,Friday
98725,AD25,CST-MUMBAI,RAVLI JN,Friday
98727,AD27,CST-MUMBAI,RAVLI JN,Wednesday
98729,AD29,CST-MUMBAI,RAVLI JN,Friday
98731,AD 31,CST-MUMBAI,RAVLI JN,Saturday
98733,AD 33,CST-MUMBAI,RAVLI JN,Saturday
98735,AD 35,CST-MUMBAI,RAVLI JN,Friday
98737,AD 37,CST-MUMBAI,RAVLI JN,Wednesday
98739,AD 39,CST-MUMBAI,RAVLI JN,Tuesday
98741,AD 41,CST-MUMBAI,RAVLI JN,Saturday
98743,AD 43,CST-MUMBAI,RAVLI JN,Friday
98745,AD 45,CST-MUMBAI,RAVLI JN,Saturday
98747,AD 47,CST-MUMBAI,RAVLI JN,Thursday
98749,AD 49,CST-MUMBAI,RAVLI JN,Sunday
98751,AD 51,CST-MUMBAI,RAVLI JN,Thursday
98753,AD 53,CST-MUMBAI,RAVLI JN,Monday
98755,AD 55,CST-MUMBAI,RAVLI JN,Sunday
98757,AD 57,CST-MUMBAI,RAVLI JN,Friday
98759,AD 59,CST-MUMBAI,RAVLI JN,Tuesday
98761,AD 61,CST-MUMBAI,RAVLI JN,Tuesday
98763,AD 63,CST-MUMBAI,RAVLI JN,Saturday
98765,AD65,CST-MUMBAI,RAVLI JN,Thursday
98767,AD 67,CST-MUMBAI,RAVLI JN,Thursday
98769,AD69,CST-MUMBAI,RAVLI JN,Thursday
98771,AD 71,CST-MUMBAI,RAVLI JN,Wednesday
98773,AD 73,CST-MUMBAI,RAVLI JN,Saturday
98775,AD 75,CST-MUMBAI,RAVLI JN,Wednesday
98777,AD 77,CST-MUMBAI,RAVLI JN,Friday
98779,AD 79,CST-MUMBAI,RAVLI JN,Monday
98781,AD 81,CST-MUMBAI,RAVLI JN,Tuesday
98783,AD 83,CST-MUMBAI,RAVLI JN,Sunday
98785,AD 85,CST-MUMBAI,RAVLI JN,Sunday
98801,B1,CST-MUMBAI,RAVLI JN,Saturday
98803,B3,CST-MUMBAI,RAVLI JN,Friday
98805,B5,CST-MUMBAI,RAVLI JN,Saturday
98807,B7,CST-MUMBAI,RAVLI JN,Monday
98809,B9,CST-MUMBAI,RAVLI JN,Monday
98811,B11,CST-MUMBAI,RAVLI JN,Sunday
98813,B13,CST-MUMBAI,RAVLI JN,Saturday
98815,B 15,CST-MUMBAI,RAVLI JN,Tuesday
98817,B17,CST-MUMBAI,RAVLI JN,Sunday
98819,B19,CST-MUMBAI,RAVLI JN,Saturday
98821,B 21,CST-MUMBAI,RAVLI JN,Friday
98823,B 23,CST-MUMBAI,RAVLI JN,Sunday
98825,B25,CST-MUMBAI,RAVLI JN,Saturday
98827,B27,CST-MUMBAI,RAVLI JN,Saturday
98829,B29,CST-MUMBAI,RAVLI JN,Monday
98831,B31,CST-MUMBAI,RAVLI JN,Tuesday
98833,B 33,CST-MUMBAI,RAVLI JN,Saturday
98835,BA 35,CST-MUMBAI,RAVLI JN,Friday
98837,BA 37,CST-MUMBAI,RAVLI JN,Tuesday
98839,B 39,CST-MUMBAI,RAVLI JN,Monday
98841,B 41,CST-MUMBAI,RAVLI JN,Wednesday
98843,B 43,CST-MUMBAI,RAVLI JN,Friday
98845,B 45,CST-MUMBAI,RAVLI JN,Saturday
98847,B47,CST-MUMBAI,RAVLI JN,Tuesday
98849,B 49,CST-MUMBAI,RAVLI JN,Monday
98851,B 51,CST-MUMBAI,RAVLI JN,Friday
98853,B 53,CST-MUMBAI,RAVLI JN,Wednesday
98855,B 55,CST-MUMBAI,RAVLI JN,Monday
98857,B 57,CST-MUMBAI,RAVLI JN,Saturday
98859,B59,CST-MUMBAI,RAVLI JN,Thursday
98861,B61,CST-MUMBAI,RAVLI JN,Saturday
98863,B63,CST-MUMBAI,RAVLI JN,Wednesday
98865,B 65,CST-MUMBAI,RAVLI JN,Wednesday
98867,BA 67,CST-MUMBAI,RAVLI JN,Saturday
98869,B69,CST-MUMBAI,RAVLI JN,Wednesday
98871,BA 71,CST-MUMBAI,RAVLI JN,Thursday
98873,B 73,CST-MUMBAI,RAVLI JN,Tuesday
98875,B 75,CST-MUMBAI,RAVLI JN,Saturday
98877,B 77,CST-MUMBAI,RAVLI JN,Saturday
98879,B 79,CST-MUMBAI,RAVLI JN,Tuesday
98881,B 81,CST-MUMBAI,RAVLI JN,Friday
98883,B 83,CST-MUMBAI,RAVLI JN,Wednesday
98885,B 85,CST-MUMBAI,RAVLI JN,Friday
98887,B 87,CST-MUMBAI,RAVLI JN,Monday
